Trajectory ID,SMILES,Molality,Monomer Molecular Weight,Degree of Polymerization,Density,CONDUCTIVITY,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number
24078,O=C(*)OCCNCCCO*,1.43E+00,4.06E+02,1.70E+01,1.31E+00,1.45E-04,4.46E-08,2.63E-08,3.92E-08,2.78E-01
24079,O=C(*)OCCOCCNCCOCCO*,1.46E+00,4.80E+02,1.10E+01,1.29E+00,5.07E-04,1.16E-07,6.27E-08,9.48E-08,3.32E-01
24080,O=C(*)NCCNCCO*,1.43E+00,3.91E+02,1.90E+01,1.34E+00,9.29E-05,2.41E-08,1.60E-08,1.83E-08,3.23E-01
24081,O=C(*)OCCCOCCN*,1.43E+00,4.06E+02,1.70E+01,1.31E+00,1.37E-04,4.19E-08,3.00E-08,3.59E-08,3.94E-01
24082,O=C(*)NC(C(=O)O)C(O*)C(F)(F)F,1.34E+00,4.60E+02,3.10E+01,1.77E+00,3.35E-05,1.37E-08,1.22E-08,5.86E-09,3.84E-01
24083,O=C(*)OCCCSCC(N*)C(=O)O,1.42E+00,4.66E+02,1.70E+01,1.48E+00,6.33E-05,1.81E-08,1.42E-08,1.29E-08,-6.44E-02
24084,O=C(*)NCCOCCOCCOCCN*,1.47E+00,4.79E+02,1.10E+01,1.31E+00,2.82E-04,4.57E-08,3.34E-08,4.28E-08,3.91E-01
24085,O=C(*)NCCCNCCNCCCN*,1.47E+00,4.61E+02,1.20E+01,1.25E+00,1.23E-04,2.69E-08,2.02E-08,1.62E-08,3.54E-01
24086,O=C(*)NCCNCCNCCNCCN*,1.49E+00,4.76E+02,1.10E+01,1.27E+00,1.50E-04,2.44E-08,2.33E-08,2.33E-08,4.51E-01
24087,O=C(*)NCCC(N*)P(=O)(O)O,1.33E+00,4.41E+02,2.60E+01,1.67E+00,6.57E-05,8.68E-09,1.53E-08,9.43E-09,5.18E-01
24088,O=C(*)OCCOCCCOCCO*,1.43E+00,4.51E+02,1.30E+01,1.30E+00,2.73E-04,7.64E-08,3.90E-08,6.81E-08,2.30E-01
24089,O=C(*)NCCNCCNCCCN*,1.46E+00,4.47E+02,1.30E+01,1.27E+00,1.33E-04,2.14E-08,2.10E-08,1.74E-08,4.48E-01
24090,O=C(*)OCCCSCCCCCO*,1.43E+00,4.65E+02,1.30E+01,1.28E+00,1.13E-04,6.62E-08,4.24E-08,5.71E-08,9.83E-02
24091,O=C(*)NCCCNCCO*,1.44E+00,4.05E+02,1.70E+01,1.29E+00,1.39E-04,2.68E-08,3.05E-08,2.91E-08,5.01E-01
24092,O=C(*)NC(CCCCO*)C(=O)O,1.37E+00,4.34E+02,1.90E+01,1.40E+00,4.80E-05,2.03E-08,1.53E-08,1.27E-08,4.50E-02
24093,O=C(*)OCCN(CCF)CCOCCO*,1.45E+00,4.82E+02,1.40E+01,1.34E+00,2.92E-04,9.37E-08,4.76E-08,6.05E-08,1.94E-01
24094,O=C(*)NCCSCCN*,1.48E+00,4.07E+02,1.90E+01,1.43E+00,1.20E-04,2.89E-08,2.24E-08,1.97E-08,3.23E-01
24095,O=C(*)OCCCCCCCCCO*,1.46E+00,4.47E+02,1.30E+01,1.17E+00,1.23E-04,7.30E-08,5.29E-08,7.86E-08,1.72E-01
24096,O=C(*)OCCC(CN*)C(F)(F)F,1.37E+00,4.44E+02,2.20E+01,1.52E+00,1.77E-05,1.38E-08,9.68E-09,1.03E-08,-2.95E-01
24097,O=C(*)NCCCOCCOCCCN*,1.45E+00,4.63E+02,1.20E+01,1.27E+00,2.04E-04,3.56E-08,3.81E-08,3.44E-08,4.96E-01
24098,O=C(*)NCCOCCOCCN*,1.45E+00,4.35E+02,1.40E+01,1.34E+00,2.54E-04,4.06E-08,3.62E-08,3.77E-08,4.34E-01
24099,O=C(*)OCCNCCNCCO*,1.45E+00,4.35E+02,1.40E+01,1.30E+00,1.28E-04,3.10E-08,2.50E-08,3.64E-08,3.99E-01
24100,O=C(*)OCCCCCCSCCCO*,1.45E+00,4.79E+02,1.20E+01,1.25E+00,1.19E-04,7.85E-08,4.79E-08,6.68E-08,7.44E-02
